"Vaccine_type","half_life","Degree_resistance","Access","eir","seasonality","Age","Blood_coverage","IR"
"BSV",1.5,"0",0.1,50,"sesonality2","Children","0",49.1321682187292
"PEV",1.5,"0",0.1,50,"sesonality2","Children","0",46.8416753648461
"BSV",1.5,"0",0.1,50,"sesonality2","Children","0",58.3939193768522
"PEV",1,"0.25",0.1,50,"sesonality2","Children","0",29.4134680147034
"BSV",1,"0.25",0.1,50,"sesonality2","Children","0",35.3096697725984
"PEV",1,"0.25",0.1,50,"sesonality2","Children","0",34.5212044310621
"BSV",1,"0.25",0.1,50,"sesonality2","Children","0",41.390313290772
"PEV",1.5,"0.25",0.1,50,"sesonality2","Children","0",32.492326906623
"BSV",1.5,"0.25",0.1,50,"sesonality2","Children","0",40.1655807205309
"PEV",1.5,"0.25",0.1,50,"sesonality2","Children","0",37.5615982448516
"BSV",1.5,"0.25",0.1,50,"sesonality2","Children","0",46.2395395721245
"PEV",1,"0.5",0.1,50,"sesonality2","Children","0",23.840512902986
"BSV",1,"0.5",0.1,50,"sesonality2","Children","0",28.1383009192384
"PEV",1,"0.5",0.1,50,"sesonality2","Children","0",27.71877748647
"BSV",1,"0.5",0.1,50,"sesonality2","Children","0",32.8624086366812
"PEV",1.5,"0.5",0.1,50,"sesonality2","Children","0",26.672750091758
"BSV",1.5,"0.5",0.1,50,"sesonality2","Children","0",32.5456662979526
"PEV",1.5,"0.5",0.1,50,"sesonality2","Children","0",30.3534150869084
"BSV",1.5,"0.5",0.1,50,"sesonality2","Children","0",36.4208250574079
"PEV",1,"0.75",0.1,50,"sesonality2","Children","0",18.5126248793658
"BSV",1,"0.75",0.1,50,"sesonality2","Children","0",24.3429331490509
"PEV",1,"0.75",0.1,50,"sesonality2","Children","0",21.0157777108352
"BSV",1,"0.75",0.1,50,"sesonality2","Children","0",26.4516366891079
"PEV",1.5,"0.75",0.1,50,"sesonality2","Children","0",20.3102392914547
"BSV",1.5,"0.75",0.1,50,"sesonality2","Children","0",26.860432249593
"PEV",1.5,"0.75",0.1,50,"sesonality2","Children","0",23.5019954825633
"BSV",1.5,"0.75",0.1,50,"sesonality2","Children","0",28.6053389296511
"PEV",1,"1",0.1,50,"sesonality2","Children","0",14.110609920282
"BSV",1,"1",0.1,50,"sesonality2","Children","0",20.3020647513891
"PEV",1,"1",0.1,50,"sesonality2","Children","0",15.8246315567253
"BSV",1,"1",0.1,50,"sesonality2","Children","0",21.5055608057047
"PEV",1.5,"1",0.1,50,"sesonality2","Children","0",15.3911781168064
"BSV",1.5,"1",0.1,50,"sesonality2","Children","0",21.5891262710282
"PEV",1.5,"1",0.1,50,"sesonality2","Children","0",17.4652975063299
"BSV",1.5,"1",0.1,50,"sesonality2","Children","0",22.8034412948475
"PEV",1,"0",0.3,50,"sesonality2","Children","0",38.106006592881
