"Degree_resistance","Access","eir","half_life","Vaccine_type","Age","Blood_clerance","Seasonality","time_0.1","time_UP","time_LOW"
0.5,0.3,5,1,"AIV","Children",1,"Seasonal",22.2088059452296,19.2416737999016,26.2578577359402
0.75,0.3,5,1,"AIV","Children",1,"Seasonal",14.5920483475606,13.4114873840866,16.0005109663222
1,0.3,5,1,"AIV","Children",1,"Seasonal",11.4312823098479,10.5737456385351,12.4401885420928
0,0.3,50,1,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1,"AIV","Children",1,"Seasonal",22.7381642753381,20.3953364219088,25.6890895940015
0.5,0.3,50,1,"AIV","Children",1,"Seasonal",12.1633758762676,11.5842551030987,12.8034465406165
0.75,0.3,50,1,"AIV","Children",1,"Seasonal",8.84080667235476,8.55901717893129,9.14178261844593
1,0.3,50,1,"AIV","Children",1,"Seasonal",7.32716043187042,7.08197781588141,7.58992863099468
0,0.1,5,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1.5,"AIV","Children",1,"Seasonal",23.6707331255286,19.2515149248307,30.7233249525246
0.5,0.1,5,1.5,"AIV","Children",1,"Seasonal",12.9279219440946,11.7071617427983,14.4329084289584
0.75,0.1,5,1.5,"AIV","Children",1,"Seasonal",9.79900600667686,9.14834787469737,10.5493043979571
1,0.1,5,1.5,"AIV","Children",1,"Seasonal",8.62236827142841,7.93693710171284,9.43737690900334
0,0.1,50,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1.5,"AIV","Children",1,"Seasonal",14.9133136050589,13.2988149369411,16.9739840284395
0.5,0.1,50,1.5,"AIV","Children",1,"Seasonal",8.66464512254295,8.23021828996431,9.14748953373332
0.75,0.1,50,1.5,"AIV","Children",1,"Seasonal",6.71891837610077,6.52059551689652,6.92968358273686
1,0.1,50,1.5,"AIV","Children",1,"Seasonal",5.9557969373618,5.73471170896088,6.19461230340966
0,0.3,5,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,5,1.5,"AIV","Children",1,"Seasonal",31.3784573697753,24.4618392651144,43.7483673501239
0.5,0.3,5,1.5,"AIV","Children",1,"Seasonal",16.7289528105833,14.7316492301988,19.3527858887399
0.75,0.3,5,1.5,"AIV","Children",1,"Seasonal",12.3596591244192,11.3396873314627,13.5812532304221
1,0.3,5,1.5,"AIV","Children",1,"Seasonal",10.4740867376083,9.57413878129137,11.5607740314431
0,0.3,50,1.5,"AIV","Children",1,"Seasonal",NA,NA,NA
0.25,0.3,50,1.5,"AIV","Children",1,"Seasonal",17.6379776326224,15.8230948807052,19.9231273069596
0.5,0.3,50,1.5,"AIV","Children",1,"Seasonal",10.2723558894119,9.7326604729364,10.8754195751619
0.75,0.3,50,1.5,"AIV","Children",1,"Seasonal",7.88327646427175,7.57444202009385,8.21836575717746
1,0.3,50,1.5,"AIV","Children",1,"Seasonal",6.82317455490235,6.53724967458635,7.13525486302739
0,0.1,5,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,5,1,"AIV","18",1,"Seasonal",14.8310975678182,13.3107574064666,16.7435246516536
0.5,0.1,5,1,"AIV","18",1,"Seasonal",7.68485832099214,7.36686475295572,8.03154298201629
0.75,0.1,5,1,"AIV","18",1,"Seasonal",5.50155046234463,5.34133634159753,5.67167307912508
1,0.1,5,1,"AIV","18",1,"Seasonal",4.50683585203021,4.34691653946278,4.67897116816591
0,0.1,50,1,"AIV","18",1,"Seasonal",NA,NA,NA
0.25,0.1,50,1,"AIV","18",1,"Seasonal",21.9858834921324,19.4638167292295,25.258855063474
0.5,0.1,50,1,"AIV","18",1,"Seasonal",10.9966312720258,10.3375866830151,11.7454290007315
0.75,0.1,50,1,"AIV","18",1,"Seasonal",7.79087787915912,7.47939420808022,8.1294327802284
