"Test_True","Test_predicted","iteration","seasonality","Coverage_reduced","Age","Blood_coverage"
0.335657253583869,0.363179225051731,1,"sesonality1",0,0.75,1
0.149248895005941,0.150707985683843,1,"sesonality1",0,0.75,1
0.249956964861675,0.22490792974821,1,"sesonality1",0,0.75,1
0.449587310017209,0.356032874371948,1,"sesonality1",0,0.75,1
0.185416712378901,0.191060867242415,1,"sesonality1",0,0.75,1
0.0885231439244718,0.0863121775946495,1,"sesonality1",0,0.75,1
0.231263079661511,0.226757475016884,1,"sesonality1",0,0.75,1
0.250515744689353,0.25246966789711,1,"sesonality1",0,0.75,1
0.199559067311192,0.182979196689513,1,"sesonality1",0,0.75,1
0.412577814079663,0.387396584330528,1,"sesonality1",0,0.75,1
0.0597965037040452,0.0581426476506837,1,"sesonality1",0,0.75,1
0.23615319223171,0.213817163244944,1,"sesonality1",0,0.75,1
0.109153868767744,0.160212326848419,1,"sesonality1",0,0.75,1
0.139140952634849,0.132199526372212,1,"sesonality1",0,0.75,1
0.311658871158112,0.325759807998907,1,"sesonality1",0,0.75,1
0.479802708884697,0.446377899905386,1,"sesonality1",0,0.75,1
0.00643448305402289,0.0759453381159416,1,"sesonality1",0,0.75,1
0.0354307035098515,0.0397661989721402,1,"sesonality1",0,0.75,1
0.902473508744329,0.768111809921505,1,"sesonality1",0,0.75,1
0.287272518215096,0.294023994784664,1,"sesonality1",0,0.75,1
0.308656069394151,0.307675904972856,1,"sesonality1",0,0.75,1
0.0265445740526715,0.0551577900496712,1,"sesonality1",0,0.75,1
0.284304331341446,0.324852670612876,1,"sesonality1",0,0.75,1
0.247756185791959,0.242919498943605,1,"sesonality1",0,0.75,1
0.238115228538842,0.23259010852021,1,"sesonality1",0,0.75,1
0.286188159664028,0.289175241523281,1,"sesonality1",0,0.75,1
0.618145419312451,0.587657509323347,1,"sesonality1",0,0.75,1
0.305750765841385,0.335668763049155,1,"sesonality1",0,0.75,1
0.322809190582428,0.3221269164708,1,"sesonality1",0,0.75,1
0.561898228922758,0.492747649015376,1,"sesonality1",0,0.75,1
0.0138201913846126,0.0148723815599089,2,"sesonality1",0,18,0
0.045140448649914,0.042013931231165,2,"sesonality1",0,18,0
0.0606152547296708,0.0603838225231606,2,"sesonality1",0,18,0
0.0539457969139344,0.0546642456744182,2,"sesonality1",0,18,0
0.0120436783895954,0.0177035943322439,2,"sesonality1",0,18,0
0.00403962336309851,0.00869872824960021,2,"sesonality1",0,18,0
0.0773022725175767,0.0765064326258615,2,"sesonality1",0,18,0
0.0706743762868664,0.0713250267990858,2,"sesonality1",0,18,0
0.0110240863902572,0.0147088245779505,2,"sesonality1",0,18,0
0.00206851431635135,0.00258726875748443,2,"sesonality1",0,18,0
0.0331318765161643,0.0327629787631331,2,"sesonality1",0,18,0
0.0862943738360868,0.0857037496806456,2,"sesonality1",0,18,0
0.0974448306183262,0.0952121397204042,2,"sesonality1",0,18,0
0.00753433698940087,0.00828701051831129,2,"sesonality1",0,18,0
0.099151852591566,0.102246741640676,2,"sesonality1",0,18,0
0.0251250183997818,0.0249823109672156,2,"sesonality1",0,18,0
