"Setting","Factor","First","Effect","Coverage_reduced","Seasonality","Vaccine_Type","SPAQ","half_life_short","deployment"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.630753552643704,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Access",0.0931804338602686,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","eir",0.117721955921833,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.0447166359988955,"First","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Coverage",0.0555669465896878,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","initialEfficacy",0.0605671342297674,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Degree_resistance",0.647485147271225,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","Access",0.106060743578039,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","eir",0.131303922555073,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0","half_life",0.0456572495729278,"Total","0","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0416591599855427,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.0555405324965006,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.644450039266225,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.0934680152779771,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.111954915499639,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.0529273374741163,"First","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Coverage",0.0514086406736404,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","initialEfficacy",0.0598945133974514,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Degree_resistance",0.654418588388533,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","Access",0.103967638073346,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","eir",0.128573591344024,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
"Spread_sesonality1_Coverage_reduced_0.2","half_life",0.0549642106098694,"Total","0.2","sesonality1","BSV","0",1,"Perennial + short half-life"
